title,genres,rating,action,film-noir,imax,crime,fantasy,children,comedy,musical,horror,animation,adventure,mystery,romance,documentary,thriller,war,sci-fi,drama,western
"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,B,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Mr. Holland's Opus (1995),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mary Reilly (1996),Drama|Horror|Thriller,E,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
In the Bleak Midwinter (1995),Comedy|Drama,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,C,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Happy Gilmore (1996),Comedy,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,C,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Braveheart (1995),Action|Drama|War,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Taxi Driver (1976),Crime|Drama|Thriller,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Anne Frank Remembered (1995),Documentary,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Boomerang (1992),Comedy|Romance,E,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Up Close and Personal (1996),Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Basketball Diaries, The (1995)",Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Apollo 13 (1995),Adventure|Drama|IMAX,C,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Batman Forever (1995),Action|Adventure|Comedy|Crime,E,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Congo (1995),Action|Adventure|Mystery|Sci-Fi,E,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Crimson Tide (1995),Drama|Thriller|War,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Crumb (1994),Documentary,B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kids (1995),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Net, The (1995)",Action|Crime|Thriller,D,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,B,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Before Sunrise (1995),Drama|Romance,B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Billy Madison (1995),Comedy,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Circle of Friends (1995),Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Clerks (1994),Comedy,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Don Juan DeMarco (1995),Comedy|Drama|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Dolores Claiborne (1995),Drama|Thriller,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Ed Wood (1994),Comedy|Drama,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Forget Paris (1995),Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Hoop Dreams (1994),Documentary,A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Heavenly Creatures (1994),Crime|Drama,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Houseguest (1994),Comedy,D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Immortal Beloved (1994),Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
I.Q. (1994),Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Just Cause (1995),Mystery|Thriller,C,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Little Women (1994),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Little Princess, A (1995)",Children|Drama,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Madness of King George, The (1994)",Comedy|Drama,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,E,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Miracle on 34th Street (1994),Drama,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
My Family (1995),Drama,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Murder in the First (1995),Drama|Thriller,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Nell (1994),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Natural Born Killers (1994),Action|Crime|Thriller,D,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Once Were Warriors (1994),Crime|Drama,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,B,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Quiz Show (1994),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Stargate (1994),Action|Adventure|Sci-Fi,C,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Santa Clause, The (1994)",Comedy|Drama|Fantasy,D,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Shawshank Redemption, The (1994)",Crime|Drama,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
To Live (Huozhe) (1994),Drama,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,C,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
What's Eating Gilbert Grape (1993),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Virtuosity (1995),Action|Sci-Fi|Thriller,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
While You Were Sleeping (1995),Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Muriel's Wedding (1994),Comedy,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Clear and Present Danger (1994),Action|Crime|Drama|Thriller,C,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Client, The (1994)",Drama|Mystery|Thriller,C,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"Corrina, Corrina (1994)",Comedy|Drama|Romance,D,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Forrest Gump (1994),Comedy|Drama|Romance|War,B,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
Four Weddings and a Funeral (1994),Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
It Could Happen to You (1994),Comedy|Drama|Romance,D,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,C,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"Paper, The (1994)",Comedy|Drama,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Speed (1994),Action|Romance|Thriller,C,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,C,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
When a Man Loves a Woman (1994),Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Addams Family Values (1993),Children|Comedy|Fantasy,D,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Age of Innocence, The (1993)",Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Airheads (1994),Comedy,E,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Beauty (1994),Adventure|Children|Drama,D,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Blue Sky (1994),Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Carlito's Way (1993),Crime|Drama,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dave (1993),Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Firm, The (1993)",Drama|Thriller,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Fugitive, The (1993)",Thriller,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Hudsucker Proxy, The (1994)",Comedy,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
In the Line of Fire (1993),Action|Thriller,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
In the Name of the Father (1993),Drama,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
What's Love Got to Do with It? (1993),Drama|Musical,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,C,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
M. Butterfly (1993),Drama|Romance,D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Much Ado About Nothing (1993),Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Mrs. Doubtfire (1993),Comedy|Drama,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Philadelphia (1993),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Radioland Murders (1994),Comedy|Mystery|Romance,C,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"Remains of the Day, The (1993)",Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Renaissance Man (1994),Comedy|Drama,D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Romper Stomper (1992),Action|Drama,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rudy (1993),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Schindler's List (1993),Drama|War,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Searching for Bobby Fischer (1993),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Secret Garden, The (1993)",Children|Drama,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Shadowlands (1993),Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Short Cuts (1993),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Six Degrees of Separation (1993),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sleepless in Seattle (1993),Comedy|Drama|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Sliver (1993),Thriller,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Blade Runner (1982),Action|Sci-Fi|Thriller,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,C,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,C,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"War Room, The (1993)",Documentary,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Welcome to the Dollhouse (1995),Comedy|Drama,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Home Alone (1990),Children|Comedy,E,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,C,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,C,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Terminator 2: Judgment Day (1991),Action|Sci-Fi,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dances with Wolves (1990),Adventure|Drama|Western,C,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Batman (1989),Action|Crime|Thriller,C,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,B,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,C,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,C,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
Pinocchio (1940),Animation|Children|Fantasy|Musical,C,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Pretty Woman (1990),Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Fargo (1996),Comedy|Crime|Drama|Thriller,B,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"Aristocats, The (1970)",Animation|Children,C,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Primal Fear (1996),Crime|Drama|Mystery|Thriller,C,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Jack and Sarah (1995),Romance,D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Courage Under Fire (1996),Action|Crime|Drama|War,C,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,C,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Song of the Little Road (Pather Panchali) (1955),Drama,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"World of Apu, The (Apur Sansar) (1959)",Drama,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,E,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0
Mulholland Falls (1996),Crime|Drama|Thriller,E,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Truth About Cats & Dogs, The (1996)",Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,B,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Cold Comfort Farm (1995),Comedy,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rock, The (1996)",Action|Adventure|Thriller,C,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Twister (1996),Action|Adventure|Romance|Thriller,C,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy,C,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Arrival, The (1996)",Action|Sci-Fi|Thriller,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Trainspotting (1996),Comedy|Crime|Drama,B,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,C,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Lone Star (1996),Drama|Mystery|Western,B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"Time to Kill, A (1996)",Drama|Thriller,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Very Brady Sequel, A (1996)",Comedy,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"First Wives Club, The (1996)",Comedy,D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ransom (1996),Crime|Thriller,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chain Reaction (1996),Action|Adventure|Thriller,E,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Emma (1996),Comedy|Drama|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Tin Cup (1996),Comedy|Drama|Romance,D,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Godfather, The (1972)",Crime|Drama,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Twelfth Night (1996),Comedy|Drama|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Philadelphia Story, The (1940)",Comedy|Drama|Romance,A,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Singin' in the Rain (1952),Comedy|Musical|Romance,B,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"American in Paris, An (1951)",Musical|Romance,C,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Breakfast at Tiffany's (1961),Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Vertigo (1958),Drama|Mystery|Romance|Thriller,B,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
Rear Window (1954),Mystery|Thriller,A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
It Happened One Night (1934),Comedy|Romance,A,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Gaslight (1944),Drama|Thriller,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Gay Divorcee, The (1934)",Comedy|Musical|Romance,C,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,B,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
"Apartment, The (1960)",Comedy|Drama|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Some Like It Hot (1959),Comedy|Crime,B,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Charade (1963),Comedy|Crime|Mystery|Romance|Thriller,C,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
Casablanca (1942),Drama|Romance,B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Maltese Falcon, The (1941)",Film-Noir|Mystery,B,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
My Fair Lady (1964),Comedy|Drama|Musical|Romance,B,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Sabrina (1954),Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Roman Holiday (1953),Comedy|Drama|Romance,B,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Meet Me in St. Louis (1944),Musical,B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,C,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Gone with the Wind (1939),Drama|Romance|War,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
My Favorite Year (1982),Comedy,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,A,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Citizen Kane (1941),Drama|Mystery,B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,C,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
All About Eve (1950),Drama,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Women, The (1939)",Comedy,B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rebecca (1940),Drama|Mystery|Romance|Thriller,B,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
Foreign Correspondent (1940),Drama|Film-Noir|Mystery|Thriller,C,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Notorious (1946),Film-Noir|Romance|Thriller,A,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Spellbound (1945),Mystery|Romance|Thriller,C,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Father of the Bride (1950),Comedy,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ninotchka (1939),Comedy|Romance,B,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Gigi (1958),Musical,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,B,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
